time: 2000000000
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
0 21 1
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 30 1
0 31 1
0 32 1
0 33 1
0 34 1
0 35 1
0 36 1
0 37 1
0 38 1
0 39 1
0 40 1
0 41 1
0 42 1
0 43 1
0 44 1
0 45 1
0 46 1
0 47 1
0 48 1
0 49 1
0 50 1
0 51 1
0 52 1
0 53 1
0 54 1
0 55 1
0 56 1
0 57 1
0 58 1
0 59 1
0 60 1
0 61 1
0 62 1
0 63 1
0 64 1
0 65 1
time: 2100000000
0 1 998808 295 1 1 0 1 1 1 1 2 1 0 0 1 1 1 1 1 1 2 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 0 1 1 0 2 1 1 1 1 0 1 1 1 2 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 2 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 0 1 1 2 0 1 1 1 1 0 1 1 1 2 1 1 0 0 1 1 1 1 1 2 1 0 1 1 1 0 1 1 1 2 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 2 0 1 1 1 1 1 0 1 1 2 1 1 0 1 1 0 1 1 1 2 1 1 0 1 0 1 1 1 1 2 1 0 1 1 1 1 0 1 1 2 0 1 1 1 1 1 1 0 0 2 1 1 1 1 1 1 0 1 2 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 2 1 1 0 1 1 1 0 1 1 2 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 2 1 0 1 1 1 1 1 0 1 2 1 1 1 0 1 1 0 1 1 2 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 2 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 2 1 1 0 1 1 1 1 0 1 2 1 1 1 1 0 0 1 1 1 2 1 1 1 0 1 1 1 0 1 2 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 2 1 1 1 1 0 1 1 0 1 2 1 1 1 1 0 1 0 1 1 2 1 1 1 0 1 1 1 1 0 2 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 2 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 2 1 1 1 0 1 1 1 1 2 1 0 0 1 1 1 1 1 1 2 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 2 1 1 1 1 1 1 6 0 1 3 7 2 61 369
0 2 1000001
0 3 1000001
0 4 1000001
0 5 1000001
0 6 1000001
0 7 1000001
0 8 1000001
0 9 1000001
0 10 1000001
0 11 1000001
0 12 1000001
0 13 1000001
0 14 1000001
0 15 1000001
0 16 1000001
0 17 1000001
0 18 1000001
0 19 1000001
0 20 1000001
0 21 1000001
0 22 1000001
0 23 1000001
0 24 1000001
0 25 1000001
0 26 1000001
0 27 1000001
0 28 1000001
0 29 1000001
0 30 1000001
0 31 1000001
0 32 1000001
0 33 1000001
0 34 1000001
0 35 1000001
0 36 1000001
0 37 1000001
0 38 1000001
0 39 1000001
0 40 1000001
0 41 1000001
0 42 1000001
0 43 1000001
0 44 1000001
0 45 1000001
0 46 1000001
0 47 1000001
0 48 1000001
0 49 1000001
0 50 1000001
0 51 1000001
0 52 1000001
0 53 1000001
0 54 1000001
0 55 1000001
0 56 1000001
0 57 1000001
0 58 1000001
0 59 1000001
0 60 1000001
0 61 1000001
0 62 1000001
0 63 1000001
0 64 1000001
0 65 1000001
time: 2200000000
0 1 1998808 295 1 1 0 1 1 1 1 2 1 0 0 1 1 1 1 1 1 2 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 0 1 1 0 2 1 1 1 1 0 1 1 1 2 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 2 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 0 1 1 2 0 1 1 1 1 0 1 1 1 2 1 1 0 0 1 1 1 1 1 2 1 0 1 1 1 0 1 1 1 2 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 2 0 1 1 1 1 1 0 1 1 2 1 1 0 1 1 0 1 1 1 2 1 1 0 1 0 1 1 1 1 2 1 0 1 1 1 1 0 1 1 2 0 1 1 1 1 1 1 0 0 2 1 1 1 1 1 1 0 1 2 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 2 1 1 0 1 1 1 0 1 1 2 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 2 1 0 1 1 1 1 1 0 1 2 1 1 1 0 1 1 0 1 1 2 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 2 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 2 1 1 0 1 1 1 1 0 1 2 1 1 1 1 0 0 1 1 1 2 1 1 1 0 1 1 1 0 1 2 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 2 1 1 1 1 0 1 1 0 1 2 1 1 1 1 0 1 0 1 1 2 1 1 1 0 1 1 1 1 0 2 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 2 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 2 1 1 1 0 1 1 1 1 2 1 0 0 1 1 1 1 1 1 2 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 2 1 1 1 1 1 1 6 0 1 3 7 2 61 369
0 2 2000001
0 3 2000001
0 4 2000001
0 5 2000001
0 6 2000001
0 7 2000001
0 8 2000001
0 9 2000001
0 10 2000001
0 11 2000001
0 12 2000001
0 13 2000001
0 14 2000001
0 15 2000001
0 16 2000001
0 17 2000001
0 18 2000001
0 19 2000001
0 20 2000001
0 21 2000001
0 22 2000001
0 23 2000001
0 24 2000001
0 25 2000001
0 26 2000001
0 27 2000001
0 28 2000001
0 29 2000001
0 30 2000001
0 31 2000001
0 32 2000001
0 33 2000001
0 34 2000001
0 35 2000001
0 36 2000001
0 37 2000001
0 38 2000001
0 39 2000001
0 40 2000001
0 41 2000001
0 42 2000001
0 43 2000001
0 44 2000001
0 45 2000001
0 46 2000001
0 47 2000001
0 48 2000001
0 49 2000001
0 50 2000001
0 51 2000001
0 52 2000001
0 53 2000001
0 54 2000001
0 55 2000001
0 56 2000001
0 57 2000001
0 58 2000001
0 59 2000001
0 60 2000001
0 61 2000001
0 62 2000001
0 63 2000001
0 64 2000001
0 65 2000001
time: 2300000000
0 1 2998808 295 1 1 0 1 1 1 1 2 1 0 0 1 1 1 1 1 1 2 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 0 1 1 0 2 1 1 1 1 0 1 1 1 2 1 0 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 2 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 0 1 2 1 1 1 1 1 0 1 1 2 0 1 1 1 1 0 1 1 1 2 1 1 0 0 1 1 1 1 1 2 1 0 1 1 1 0 1 1 1 2 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 2 0 1 1 1 1 1 0 1 1 2 1 1 0 1 1 0 1 1 1 2 1 1 0 1 0 1 1 1 1 2 1 0 1 1 1 1 0 1 1 2 0 1 1 1 1 1 1 0 0 2 1 1 1 1 1 1 0 1 2 1 0 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 2 1 1 0 1 1 1 0 1 1 2 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 2 1 0 1 1 1 1 1 0 1 2 1 1 1 0 1 1 0 1 1 2 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 2 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 2 1 1 0 1 1 1 1 0 1 2 1 1 1 1 0 0 1 1 1 2 1 1 1 0 1 1 1 0 1 2 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 2 1 1 1 1 0 1 1 0 1 2 1 1 1 1 0 1 0 1 1 2 1 1 1 0 1 1 1 1 0 2 1 1 0 1 1 1 1 1 2 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 2 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 0 2 1 1 1 0 1 1 1 1 2 1 0 0 1 1 1 1 1 1 2 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 2 1 1 1 1 1 1 6 0 1 3 7 2 61 369
0 2 3000001
0 3 3000001
0 4 3000001
0 5 3000001
0 6 3000001
0 7 3000001
0 8 3000001
0 9 3000001
0 10 3000001
0 11 3000001
0 12 3000001
0 13 3000001
0 14 3000001
0 15 3000001
0 16 3000001
0 17 3000001
0 18 3000001
0 19 3000001
0 20 3000001
0 21 3000001
0 22 3000001
0 23 3000001
0 24 3000001
0 25 3000001
0 26 3000001
0 27 3000001
0 28 3000001
0 29 3000001
0 30 3000001
0 31 3000001
0 32 3000001
0 33 3000001
0 34 3000001
0 35 3000001
0 36 3000001
0 37 3000001
0 38 3000001
0 39 3000001
0 40 3000001
0 41 3000001
0 42 3000001
0 43 3000001
0 44 3000001
0 45 3000001
0 46 3000001
0 47 3000001
0 48 3000001
0 49 3000001
0 50 3000001
0 51 3000001
0 52 3000001
0 53 3000001
0 54 3000001
0 55 3000001
0 56 3000001
0 57 3000001
0 58 3000001
0 59 3000001
0 60 3000001
0 61 3000001
0 62 3000001
0 63 3000001
0 64 3000001
0 65 3000001
